MFLOPS 	 MFLOPS% 	 REAL_TIME 	 REAL_TIME% 	 PROC_TIME 	 PROC_TIME% 	 N_B
1.60944e-05	 0	 2.3e-05	 0	 2e-05	0	1
6.43777e-05	 0	 1.1e-05	 0	 1e-05	0	2
0.000600858	 0	 1e-05	 0	 1e-05	0	4
6.65236e-05	 0	 8.1e-05	 0	 7.5e-05	0	8
2.0118e-05	 0	 1.6e-05	 0	 1.6e-05	0	16
1.07296e-05	 0	 2.5e-05	 0	 2.5e-05	0	32
4.94127e-06	 0	 7.6e-05	 0	 7.6e-05	0	64
1.08537e-06	 0	 0.000346	 0	 0.000346	0	128
1.92979e-07	 0	 0.005234	 0	 0.002224	0	256
1.69002e-08	 0	 0.015927	 0	 0.015872	0	512
9.38919e-09	 0	 0.120517	 0	 0.11999	0	1024
1.1503e-09	 0	 0.937477	 0	 0.932767	0	2048
1.45389e-10	 0	 7.41846	 0	 7.37994	0	4096
4.5583e-12	 0	 59.1371	 0	 58.8465	0	8192
1.1355e-12	 0	 475.003	 0	 472.463	0	16384
