MFLOPS 	 MFLOPS% 	 REAL_TIME 	 REAL_TIME% 	 PROC_TIME 	 PROC_TIME% 	 Nmax
1.0567044e-05	 9.9553332e-07	 1.5666667e-05	 5.1153367e-06	 1.4666667e-05	4.4907312e-06	1
7.3156456e-05	 6.8972571e-06	 1.1333334e-05	 4.0824843e-07	 1.1000000e-05	1.9691138e-13	2
5.7170417e-04	 4.5116212e-05	 1.1666667e-05	 4.0824843e-07	 1.1333334e-05	4.0824843e-07	4
3.4232578e-05	 1.4715432e-05	 3.3666667e-05	 2.2861905e-05	 3.3000001e-05	2.2660539e-05	8
1.9329084e-05	 4.8312626e-07	 1.9000000e-05	 2.4494898e-06	 1.6666667e-05	4.0824843e-07	16
1.2703739e-05	 1.2642505e-06	 2.6000001e-05	 2.5495099e-06	 2.5666668e-05	2.4832776e-06	32
5.7365810e-06	 6.5363093e-07	 6.8666666e-05	 6.3377170e-06	 6.6666667e-05	7.9477448e-06	64
1.2258141e-06	 1.1548841e-07	 3.1300000e-04	 3.0626787e-05	 3.1033333e-04	3.1657013e-05	128
2.1060940e-07	 9.3017098e-09	 2.0513333e-03	 9.3705208e-05	 2.0433333e-03	9.3585074e-05	256
2.9068192e-08	 9.2363613e-10	 1.5423334e-02	 2.5763976e-04	 1.5369000e-02	2.5844570e-04	512
4.2302736e-09	 2.0066004e-10	 1.1878733e-01	 8.2882983e-04	 1.1839467e-01	8.3269931e-04	1024
5.0320905e-10	 2.4095406e-11	 9.2690501e-01	 7.7311815e-04	 9.2401770e-01	7.5140385e-04	2048
6.3267867e-11	 2.9035554e-12	 7.3705196e+00	 1.0293441e-02	 7.3483446e+00	1.0196703e-02	4096
7.2974441e-12	 5.1000462e-15	 5.8980787e+01	 4.1632991e-02	 5.8813034e+01	4.1096162e-02	8192
9.1797585e-13	 4.7087207e-14	 4.9007928e+02	 2.1455052e+00	 4.8709271e+02	2.0476686e+00	16384
