MFLOPS 	 MFLOPS% 	 REAL_TIME 	 REAL_TIME% 	 PROC_TIME 	 PROC_TIME% 	 N_B
0.00841518	 0.000143315	 328.983	 12.4446	 324.344	11.0724	        1
0.0245875	 0.00162469	 105.029	 7.23763	 103.328	7.32678	        2
0.0535273	 0.00227274	 34.7045	 1.49918	 33.8501	1.47352	        4
0.0961113	 5.34226e-05	 21.8382	 0.0541668	 21.6068	0.0130336	8
0.104003	 2.62351e-05	 25.5286	 0.0241641	 25.3481	0.00918069	16
0.109399	 1.95166e-05	 29.0501	 0.000852622	 28.865	        0.00299298	32
0.114128	 3.03427e-06	 30.6198	 0.0298948	 30.3894	0.0047901	64
0.117521	 1.33854e-05	 30.8455	 0.0485381	 30.5642	0.00548037	128
0.10404	         1.73549e-05	 79.9053	 0.0354213	 79.3145	0.0162054	256
0.0990206	 8.53489e-05	 83.0435	 0.0696894	 82.3557	0.0563017	512
0.086176	 0.00027841	 98.9304	 0.0569273	 98.0687	0.0641343	1024
0.063765	 0.000193826	 110.855	 0.246926	 109.862	0.180477	2048
