MFLOPS   MFLOPS%         REAL_TIME       REAL_TIME%      PROC_TIME       PROC_TIME%      Nmax
7.4281943e-05    0.0000000e+00   2.7000000e-05   0.0000000e+00   2.6000000e-05  0.0000000e+00   1
7.7491653e-05    0.0000000e+00   1.7000000e-05   0.0000000e+00   1.8000001e-05  0.0000000e+00   2
5.7362165e-04    0.0000000e+00   1.4000000e-05   0.0000000e+00   1.3000000e-05  0.0000000e+00   4
2.8057940e-03    0.0000000e+00   1.9999999e-05   0.0000000e+00   1.9999999e-05  0.0000000e+00   8
5.8128029e-03    0.0000000e+00   7.6999997e-05   0.0000000e+00   7.6999997e-05  0.0000000e+00   16
6.9449674e-03    0.0000000e+00   5.1400001e-04   0.0000000e+00   5.1300001e-04  0.0000000e+00   32
7.1649674e-03    0.0000000e+00   3.9969999e-03   0.0000000e+00   3.9820001e-03  0.0000000e+00   64
7.2881117e-03    0.0000000e+00   4.1616000e-02   0.0000000e+00   3.1518999e-02  0.0000000e+00   128
8.9003755e-03    0.0000000e+00   2.7757001e-01   0.0000000e+00   2.5183201e-01  0.0000000e+00   256
1.2362086e-02    0.0000000e+00   2.0383451e+00   0.0000000e+00   2.0326190e+00  0.0000000e+00   512
1.2348103e-02    0.0000000e+00   1.6337284e+01   0.0000000e+00   1.6288944e+01  0.0000000e+00   1024
1.2596182e-02    0.0000000e+00   1.3291821e+02   0.0000000e+00   1.3226006e+02  0.0000000e+00   2048
1.4537232e-02    0.0000000e+00   1.0891835e+03   0.0000000e+00   1.0846952e+03  0.0000000e+00   4096
1.4600616e-02    0.0000000e+00   9.0559102e+03   0.0000000e+00   9.0285449e+03  0.0000000e+00   8192
