MFLOPS   MFLOPS%         REAL_TIME       REAL_TIME%      PROC_TIME       PROC_TIME%      Nmax
1.2994875e-05    2.8031172e-07   2.1666667e-05   5.7154758e-06   2.0666667e-05  5.1153367e-06   1
1.0346414e-05    1.4079684e-06   1.7000000e-05   1.8708286e-06   1.6000000e-05  2.4494895e-06   2
9.8617773e-06    2.4156313e-07   1.6666667e-05   4.0824843e-07   1.6333333e-05  4.0824843e-07   4
3.6276314e-05    1.1576631e-05   3.1000001e-05   3.0822073e-06   3.0333335e-05  2.8577383e-06   8
8.6018172e-06    1.0582028e-07   8.8000003e-05   1.2247453e-06   8.7333336e-05  1.0801238e-06   16
1.4680891e-06    1.4560827e-08   5.1699999e-04   7.4498284e-06   5.1166669e-04  5.1153280e-06   32
3.7788921e-07    2.2327473e-09   3.7076666e-03   2.1099039e-05   3.6913333e-03  2.1912683e-05   64
4.9243353e-08    3.7024378e-11   2.8406000e-02   1.5636771e-05   2.8325666e-02  2.1287347e-05   128
4.8567900e-09    1.3070900e-11   2.2141899e-01   5.9420559e-04   2.2092199e-01  5.9586629e-04   256
1.4404899e-09    5.6410790e-12   1.7543594e+00   6.9391407e-03   1.7504537e+00  6.8767479e-03   512
2.7231074e-10    6.5821513e-13   1.4019839e+01   3.4265800e-02   1.3987853e+01  3.3873432e-02   1024
8.1691120e-11    2.5557362e-14   1.1189503e+02   3.6033574e-02   1.1164215e+02  3.4931034e-02   2048
3.4553160e-11    6.6396871e-14   8.9487344e+02   1.6951638e+00   8.9276321e+02  1.7182112e+00   4096
1.5944317e-11    6.1891532e-14   7.1732986e+03   3.0112175e+01   7.1535261e+03  2.7854989e+01   8192
