MFLOPS 	 MFLOPS% 	 REAL_TIME 	 REAL_TIME% 	 PROC_TIME 	 PROC_TIME% 	 N_B
1.12943e-05	 0	 2e-05	 0	 1.9e-05	0	1
1.78827e-05	 0	 1.1e-05	 0	 1.2e-05	0	2
7.80336e-05	 0	 1.1e-05	 0	 1.1e-05	0	4
0.000299535	 0	 1.2e-05	 0	 1.2e-05	0	8
0.00107296	 0	 1.4e-05	 0	 1.4e-05	0	16
0.00267021	 0	 2.3e-05	 0	 2.2e-05	0	32
0.00418065	 0	 5.6e-05	 0	 5.5e-05	0	64
0.0048207	 0	 0.000191	 0	 0.00019	0	128
0.00387952	 0	 0.00097	 0	 0.000964	0	256
0.00362408	 0	 0.004233	 0	 0.004216	0	512
0.00339896	 0	 0.017933	 0	 0.017876	0	1024
0.00279324	 0	 0.087378	 0	 0.086963	0	2048
0.00181702	 0	 0.536294	 0	 0.534216	0	4096
0.00159584	 0	 2.44331	 0	 2.4327	0	8192
0.00112948	 0	 13.8764	 0	 13.7887	0	16384
