MFLOPS 	 MFLOPS% 	 REAL_TIME 	 REAL_TIME% 	 PROC_TIME 	 PROC_TIME% 	 N_B
4.4915472e-10	 2.5403897e-10	 1.0464694e+00	 5.6941526e-03	 1.0410992e+00	5.4747287e-03	1
5.4093819e-10	 3.5394940e-12	 6.9786359e-01	 4.8267449e-03	 6.9426469e-01	4.5746271e-03	2
7.1829359e-10	 2.7649770e-11	 5.3312590e-01	 3.1079974e-03	 5.3025870e-01	2.8818844e-03	4
8.4558338e-10	 5.9394626e-12	 4.4657641e-01	 3.2951904e-03	 4.4413950e-01	3.1373910e-03	8
1.2999897e-09	 9.4176480e-12	 2.9087060e-01	 2.2351946e-03	 2.8889319e-01	2.0958163e-03	16
9.5386014e-10	 5.4578684e-11	 4.0721950e-01	 2.4341653e-03	 4.0505420e-01	2.2752900e-03	32
9.3184281e-10	 4.4967439e-11	 4.1671590e-01	 2.8718550e-03	 4.1442731e-01	2.7347893e-03	64
8.5803568e-10	 3.1766526e-12	 4.4003130e-01	 1.7514313e-03	 4.3767660e-01	1.6175831e-03	128
8.8260997e-10	 4.6970113e-11	 4.3994820e-01	 2.0964263e-03	 4.3765160e-01	1.9007546e-03	256
8.6699448e-10	 7.2497939e-11	 4.5415800e-01	 1.8601013e-03	 4.5171970e-01	1.7279196e-03	512
8.5659572e-10	 4.4155959e-11	 4.5329180e-01	 1.2940642e-03	 4.5089920e-01	1.1542525e-03	1024
6.2704433e-10	 4.5809148e-12	 6.0208870e-01	 4.5911644e-03	 5.9893449e-01	4.3659080e-03	2048
5.0320976e-10	 2.0512385e-11	 7.6092771e-01	 4.1208781e-03	 7.5697020e-01	3.8937802e-03	4096
