MFLOPS   MFLOPS%         REAL_TIME       REAL_TIME%      PROC_TIME       PROC_TIME%      N_B
0.00756172       0       3083.94         0       3070.82        0       1
0.020035         0       1075.85         0       1070.57        0       2
0.048222         0       307.828         0       306.234        0       4
0.0910386        0       186.234         0       184.948        0       8
0.105483         0       226.329         0       225.199        0       16
0.109817         0       239.684         0       238.57 	0       32
0.114237         0       252.713         0       251.489        0       64
0.102725         0       639.88  	 0       637.373        0       128
0.103839         0       636.882         0       635.093        0       256
0.0885361        0       839.335         0       834.831        0       512
0.0738591        0       889.296         0       885.145        0       1024
0.0610235        0       995.392         0       991.318        0       2048
0.0596382        0       1061.28         0       1057.29        0       4096
