MFLOPS 	         MFLOPS% 	 REAL_TIME 	 REAL_TIME% 	 PROC_TIME      PROC_TIME%      N_B
0.00720509	 0.000187716	 3261.97	 88.5637	 3246.11	88.374	        1
0.0183904	 0.000441255	 1178.52	 28.1688	 1172.18	28.1271	        2
0.0450093	 0.000149091	 330.407	 1.11247	 328.65	        1.09826         4
0.0884363	 5.70339e-05	 192.302	 0.0861869	 190.927	0.139422	8
0.105115	 0.000127331	 227.075	 0.317538	 225.997	0.318714	16
0.109788	 3.50915e-05	 239.828	 0.0682114	 238.747	0.0540353	32
0.113993	 6.41867e-05	 253.28	         0.159115	 252.095	0.181867        64
0.102385	 1.81763e-05	 642.229	 0.115084	 639.4	        0.118335        128
0.103226	 1.58622e-05	 641.677	 0.110054	 638.843	0.105054	256
0.0890805	 1.63675e-05	 827.164	 0.169565	 823.277	0.183066	512
0.0843372	 2.61241e-05	 875.25	         0.788805	 870.7	        0.654844	1024
0.0657756	 0.00154241	 965.293	 17.5148	 960.481	17.2136	        2048
0.0533976	 0.000848815	 1155.4	         11.1309	 1150.13	11.1313         4096
