MFLOPS 	 MFLOPS% 	 REAL_TIME 	 REAL_TIME% 	 PROC_TIME 	 PROC_TIME% 	 Nmax
7.4252038e-05	 1.4253376e-05	 1.5000000e-05	 7.7459665e-06	 1.2500000e-05	5.4221768e-06	1
1.0148426e-04	 2.3086513e-07	 9.7500001e-06	 7.4161973e-07	 9.2500002e-06	3.8729811e-07	2
2.0202854e-04	 3.3624214e-05	 1.3750000e-05	 3.3689764e-06	 1.1500000e-05	2.3237897e-06	4
5.9951716e-04	 9.1571768e-05	 1.1500000e-05	 2.3237901e-06	 1.0750000e-05	1.7175565e-06	8
1.7162962e-03	 2.6519615e-04	 1.6250000e-05	 2.3979155e-06	 1.4500000e-05	1.8439088e-06	16
4.1192328e-03	 3.6502175e-04	 2.5000000e-05	 2.6076811e-06	 2.3500000e-05	1.8439089e-06	32
6.9966991e-03	 3.5339751e-04	 5.6750000e-05	 3.7616486e-06	 5.5250000e-05	3.1224987e-06	64
7.5501404e-03	 1.0904241e-03	 2.1850000e-04	 3.4828152e-05	 2.1425000e-04	3.1574511e-05	128
5.5646670e-03	 4.8128453e-04	 1.2645000e-03	 6.6562768e-05	 1.2540000e-03	6.5999975e-05	256
4.7231626e-03	 3.2301875e-04	 6.1720000e-03	 5.6798207e-04	 6.1375001e-03	5.5967869e-04	512
4.0111815e-03	 9.2365298e-05	 2.9153000e-02	 8.7218279e-04	 2.8899999e-02	8.6283667e-04	1024
4.2096963e-03	 2.9974055e-04	 1.1893825e-01	 9.2013362e-03	 1.1826925e-01	9.3302745e-03	2048
3.8771759e-03	 6.4926158e-04	 5.6591474e-01	 9.3937117e-02	 5.6281050e-01	9.2684378e-02	4096
5.0514349e-03	 7.4564961e-04	 2.1865045e+00	 4.1548433e-01	 2.1783403e+00	4.1212355e-01	8192
5.2790963e-03	 4.5246204e-04	 8.2424455e+00	 8.9749466e-01	 8.2108859e+00	8.8819024e-01	16384
