MFLOPS 	 MFLOPS% 	 REAL_TIME 	 REAL_TIME% 	 PROC_TIME 	 PROC_TIME% 	 N_B
0.00917545	 0	 288.488	 0	 286.753	0	1
0.0280711	 0	 88.7733	 0	 88.2237	0	2
0.0561116	 0	 32.1457	 0	 31.945	0	4
0.0949528	 0	 22.2964	 0	 22.117	0	8
0.103476	 0	 25.6236	 0	 25.4738	0	16
0.109018	 0	 28.9835	 0	 28.8214	0	32
0.113594	 0	 30.6002	 0	 30.4232	0	64
0.117584	 0	 30.799	 0	 30.6165	0	128
0.104688	 0	 79.4991	 0	 79.0386	0	256
0.0963146	 0	 85.1689	 0	 84.6361	0	512
0.0870093	 0	 100.138	 0	 99.4803	0	1024
0.0692865	 0	 107.831	 0	 107.163	0	2048
0.0689254	 0	 107.924	 0	 107.258	0	4096
