MFLOPS 	 MFLOPS% 	 REAL_TIME 	 REAL_TIME% 	 PROC_TIME 	 PROC_TIME% 	 N_B
8.25355e-06	 0	 2.9e-05	 0	 2.6e-05	0	1
3.78692e-05	 0	 1.9e-05	 0	 1.7e-05	0	2
0.000429185	 0	 1.4e-05	 0	 1.4e-05	0	4
4.33122e-05	 0	 0.000109	 0	 0.000109	0	8
1.89346e-05	 0	 1.8e-05	 0	 1.7e-05	0	16
9.19681e-06	 0	 3.7e-05	 0	 3.5e-05	0	32
3.95302e-06	 0	 9.9e-05	 0	 9.5e-05	0	64
1.0571e-06	 0	 0.000409	 0	 0.000406	0	128
1.59463e-07	 0	 0.002366	 0	 0.002355	0	256
2.343e-08	 0	 0.016098	 0	 0.016028	0	512
3.56534e-09	 0	 0.120983	 0	 0.120377	0	1024
4.62945e-10	 0	 0.931199	 0	 0.927074	0	2048
5.09569e-11	 0	 7.40123	 0	 7.36969	0	4096
1.18457e-11	 0	 59.178	 0	 58.8756	0	8192
5.62924e-13	 0	 478.921	 0	 476.512	0	16384
