MFLOPS 	 MFLOPS% 	 REAL_TIME 	 REAL_TIME% 	 PROC_TIME 	 PROC_TIME% 	 N_B
1.57788e-05	 0	 3.5e-05	 0	 3.4e-05	0	1
1.0059e-05	 0	 1.8e-05	 0	 1.6e-05	0	2
8.04721e-06	 0	 2.2e-05	 0	 2e-05	0	4
4.95213e-05	 0	 4.1e-05	 0	 3.9e-05	0	8
8.16384e-06	 0	 9.3e-05	 0	 9.2e-05	0	16
1.45275e-06	 0	 0.000523	 0	 0.000517	0	32
3.89905e-07	 0	 0.003728	 0	 0.003715	0	64
5.0837e-08	 0	 0.028609	 0	 0.028493	0	128
5.04195e-09	 0	 0.224294	 0	 0.223447	0	256
1.63618e-09	 0	 1.77745	 0	 1.77059	0	512
2.96738e-10	 0	 14.1577	 0	 14.1018	0	1024
8.34505e-11	 0	 112.955	 0	 112.503	0	2048
3.49252e-11	 0	 903.727	 0	 900.146	0	4096
