MFLOPS 	 MFLOPS% 	 REAL_TIME 	 REAL_TIME% 	 PROC_TIME 	 PROC_TIME% 	 N_B
8.94135e-06	 0	 1.9e-05	 0	 1.8e-05	0	1
0	 0	 1.1e-05	 0	 1e-05	0	2
0	 0	 1.1e-05	 0	 1e-05	0	4
0	 0	 1.1e-05	 0	 1e-05	0	8
0	 0	 1.2e-05	 0	 1.1e-05	0	16
0	 0	 1.2e-05	 0	 1.2e-05	0	32
0	 0	 1.5e-05	 0	 1.5e-05	0	64
0	 0	 3.8e-05	 0	 3.7e-05	0	128
0	 0	 0.000307	 0	 0.000307	0	256
0	 0	 0.001784	 0	 0.001773	0	512
0	 0	 0.00716	 0	 0.007135	0	1024
0	 0	 0.028861	 0	 0.028763	0	2048
0	 0	 0.154532	 0	 0.154019	0	4096
0	 0	 0.912763	 0	 0.910086	0	8192
0	 0	 5.17118	 0	 5.15567	0	16384
