MFLOPS 	 MFLOPS% 	 REAL_TIME 	 REAL_TIME% 	 PROC_TIME 	 PROC_TIME% 	 Nmax
6.2987376e-05	 4.4545279e-06	 3.4000000e-05	 6.4187230e-06	 3.2250000e-05	6.2088648e-06	1
9.9317945e-05	 3.3379950e-06	 3.1000000e-05	 6.3245575e-07	 2.9750000e-05	9.7467911e-07	2
3.3262616e-04	 3.6128204e-05	 2.6000000e-05	 3.2863351e-06	 2.4750000e-05	2.9240380e-06	4
6.6757122e-04	 7.1973470e-05	 4.6000000e-05	 5.6921004e-06	 4.5000000e-05	5.6921004e-06	8
7.8532528e-04	 4.1331560e-06	 1.4400000e-04	 8.9442749e-07	 1.4225000e-04	7.4161961e-07	16
6.8489226e-04	 8.7300712e-06	 6.4600000e-04	 8.6486885e-06	 6.4450000e-04	8.3066318e-06	32
4.1253522e-04	 3.7914591e-06	 4.2965001e-03	 3.9000044e-05	 4.2685000e-03	4.0172133e-05	64
2.3003418e-04	 8.0135602e-07	 3.0717000e-02	 1.1065073e-04	 3.0586750e-02	1.0722966e-04	128
1.2154386e-04	 9.1301542e-07	 2.3234075e-01	 1.9437671e-03	 2.3152850e-01	1.7759096e-03	256
6.2962009e-05	 1.0983776e-07	 1.7927070e+00	 2.9504728e-03	 1.7874098e+00	3.0590496e-03	512
3.1879546e-05	 3.0375254e-08	 1.4161375e+01	 1.3815986e-02	 1.4120266e+01	1.2994356e-02	1024
1.6016605e-05	 2.6931588e-08	 1.1275328e+02	 2.0518904e-01	 1.1242728e+02	1.8929396e-01	2048
8.0503913e-06	 4.7351562e-09	 8.9735545e+02	 5.0038972e-01	 8.9477457e+02	5.3612191e-01	4096
